econiso,auto,bond10yr,bond20yr,bond30yr,cabgdp1,cabgdp2,cpi,cpi1,cpi3,cpir,employ,employt1,employt2,fedfunds,gdp,gdpn1,gdpn2,gdpr1,gdpr2,house,ip1,ip3,ipgr,ippi,libor1m,libor2m,libor3m,ltgdr,m1,m2,mbroad1,mbroad3,note10yr,note2yr,note3yr,note5yr,note7yr,popt,ppi,prime,rawmat,rtlsales,stgdr,tbill12m,tbill3m,tbill6m,txcr,unemp,unemp1,unemp2,wpi1,wpi3,wpir,datadate
USA,356.217,,4.38,4.51,-2.8707,-2.7914,2.1749,92.0146,91.7664,1.6366,129790.0,139.0772,138.59,0.12,15.4151,15048.97,14764.611,15648.991,15456.059,0.614,90.8609,88.443,5.5323,,0.2316,0.2409,0.2501,3.714,1674.7,8446.1,8773.7333,8424.7,3.63,0.82,1.38,2.34,3.08,309.79,178.9,3.25,,308.529,0.0616,0.28,0.08,0.15,11.4464,9.8,9.6228,9.8371,97.0415,96.4223,6.8318,2010-01-31
USA,393.08,,4.4,4.55,-2.8707,-2.7914,2.1728,92.0146,91.6791,1.6366,129698.0,139.0772,138.59,0.13,15.4151,15048.97,14764.611,15648.991,15456.059,0.604,90.8609,88.7556,5.5323,,0.2291,0.2398,0.2505,3.6782,1699.8,8495.7,8773.7333,8476.2,3.61,0.81,1.36,2.3,3.05,309.79,177.7,3.25,,308.52,0.1089,0.3,0.13,0.19,11.4464,9.8,9.6228,9.8371,97.0415,95.9558,6.8318,2010-02-28
USA,533.45,,4.55,4.72,-2.8707,-2.7914,2.1735,92.0146,91.7094,1.6366,129879.0,139.0772,138.59,0.09,15.4151,15048.97,14764.611,15648.991,15456.059,0.636,90.8609,89.3863,5.5323,,0.2373,0.2503,0.2684,3.7188,1711.9,8492.8,8773.7333,8476.2,3.84,1.02,1.6,2.55,3.28,309.79,178.9,3.25,,316.269,0.1504,0.38,0.16,0.24,11.4464,9.9,9.6228,9.8371,97.0415,96.4815,6.8318,2010-03-31
USA,493.59,,4.36,4.53,-2.8707,-2.9836,2.174,92.0146,91.7305,1.6366,130110.0,139.0772,139.2263,0.2,15.5573,15048.97,14980.193,15648.991,15605.628,0.687,90.8609,89.7126,5.5323,,0.2597,0.284,0.3116,3.7981,1699.0,8523.1,8773.7333,8508.4,3.69,0.97,1.51,2.43,3.12,309.79,178.9,3.25,,318.612,0.1623,0.38,0.16,0.24,11.4464,9.9,9.6228,9.6576,97.0415,96.3334,6.8318,2010-04-30
USA,555.18,,4.05,4.22,-2.8707,-2.9836,2.1729,92.0146,91.6829,1.6366,130650.0,139.0772,139.2263,0.19,15.5573,15048.97,14980.193,15648.991,15605.628,0.583,90.8609,90.9413,5.5323,,0.3355,0.3924,0.4585,3.3945,1710.1,8577.8,8773.7333,8560.9,3.31,0.76,1.26,2.1,2.75,309.79,178.9,3.25,,315.356,0.16,0.32,0.16,0.22,11.4464,9.6,9.6228,9.6576,97.0415,96.0501,6.8318,2010-05-31
USA,493.498,,3.74,3.91,-2.8707,-2.9836,2.172,92.0146,91.6445,1.6366,130511.0,139.0772,139.2263,0.09,15.5573,15048.97,14980.193,15648.991,15605.628,0.536,90.8609,91.1551,5.5323,,0.3487,0.4337,0.5369,3.1621,1731.6,8597.0,8773.7333,8575.3,2.97,0.61,1.0,1.79,2.42,309.79,178.3,3.25,,315.25,0.1236,0.31,0.18,0.22,11.4464,9.4,9.6228,9.6576,97.0415,95.4345,6.8318,2010-06-30
USA,514.969,,3.74,3.98,-2.8707,-3.0808,2.1761,92.0146,91.8158,1.6366,130427.0,139.0772,139.3377,0.18,15.672,15048.97,15141.605,15648.991,15726.282,0.546,90.8609,91.4972,5.5323,,0.3341,0.4148,0.5103,2.9344,1724.0,8606.6,8773.7333,8580.2,2.94,0.55,0.84,1.6,2.3,309.79,178.5,3.25,,315.546,0.1576,0.28,0.15,0.2,11.4464,9.4,9.6228,9.4724,97.0415,95.6604,6.8318,2010-07-31
USA,490.819,,3.23,3.52,-2.8707,-3.0808,2.1792,92.0146,91.95,1.6366,130422.0,139.0772,139.3377,0.21,15.672,15048.97,15141.605,15648.991,15726.282,0.599,90.8609,91.8356,5.5323,,0.2755,0.3123,0.3625,2.6545,1748.7,8656.9,8773.7333,8627.0,2.47,0.47,0.72,1.33,1.92,309.79,179.5,3.25,,317.345,0.155,0.24,0.14,0.19,11.4464,9.5,9.6228,9.4724,97.0415,96.2638,6.8318,2010-08-31
USA,463.225,,3.38,3.69,-2.8707,-3.0808,2.1828,92.0146,92.0985,1.6366,130357.0,139.0772,139.3377,0.15,15.672,15048.97,15141.605,15648.991,15726.282,0.594,90.8609,92.0853,5.5323,,0.257,0.2738,0.2914,2.6113,1766.2,8687.9,8773.7333,8652.1,2.53,0.42,0.64,1.27,1.91,309.79,180.1,3.25,,319.914,0.1519,0.26,0.16,0.19,11.4464,9.5,9.6228,9.4724,97.0415,96.8935,6.8318,2010-09-30
USA,436.381,,3.64,3.99,-2.8707,-2.629,2.1904,92.0146,92.4191,1.6366,130625.0,139.0772,139.1547,0.2,15.7506,15048.97,15309.471,15648.991,15807.995,0.543,90.8609,91.8344,5.5323,,0.2561,0.272,0.2888,2.4622,1780.4,8737.0,8773.7333,8703.8,2.63,0.34,0.51,1.17,1.89,309.79,181.6,3.25,,324.043,0.1345,0.21,0.12,0.17,11.4464,9.4,9.6228,9.5243,97.0415,98.5587,6.8318,2010-10-31
